,NOMBRE_VERTIDO,TITULAR,MUNICIPIO,PROVINCIA,UTM X  Huso 30,UTM Y  Huso 30,MEDIO     RECEPTOR,NATURALEZA_VERTIDO,CARACT_VERTIDO,VOLUMEN_m3_ano,NATURALEZA_RECEPTOR,REF_EXPEDIENTE,tipo_titular
43,NUCLEO RURAL VALLE DE IRUELAS,MANCOMUNIDAD MUNICIPAL ASOCIO DE AVILA,BARRACO (EL),AVILA,367218.0,4475167.0,RÍO ALBERCHE,URBANO O ASIMILABLE,<2.000 h-e,36500.0,CATEGORÍA I,AV-0121/2002,J
44,CENTRO DE TURISMO RURAL ISLA CENTINELA,"EL CASTILLO DE LA ISLA CENTINELA, S.L.",BARRACO (EL),AVILA,367675.0,4476657.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1825.0,CATEGORÍA I,AV-0115/2002,J
45,RESIDENCIA DE MAYORES LOS CEREZOS,"RESIDENCIA DE MAYORES LOS CEREZOS, S.L.",BARRACO (EL),AVILA,368193.0,4477013.0,ARROYO DE LA PARRA,URBANO O ASIMILABLE,<2.000 h-e,13687.0,CATEGORÍA I,AV-0381/1990,J
46,CAMPING MUNICIPAL EL BARRACO,AYUNTAMIENTO DE EL BARRACO,BARRACO (EL),AVILA,362990.0,4476738.0,RÍO ALBERCHE,URBANO O ASIMILABLE,<2.000 h-e,15330.0,CATEGORÍA I,AV-0073/2001,A
47,"EL FARO CASAS, S.L. (HOTEL-RESTAURANTE)","EL FARO CASAS, S.L.",BARRACO (EL),AVILA,368160.0,4476520.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1500.0,CATEGORÍA I,AV-0086/2003,J
48,ISLA DEL TIO FAUSTINO (VIV. UNIFAMILIAR),PERSONA FÍSICA,BARRACO (EL),AVILA,367324.0,4476606.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,365.0,CATEGORÍA I,AV-0411/1990,F
49,EDAR EL BARRACO - SAN JUAN DE LA NAVA,AYUNTAMIENTO DE EL BARRACO,BARRACO (EL),AVILA,362114.0,4480424.0,ARROYO DE LOS CHARQUILLOS,URBANO O ASIMILABLE,>10.000 h-e,514221.0,CATEGORÍA I,AV-0187/2008,A
50,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,BARRACO (EL),AVILA,368186.0,4476560.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,100.0,CATEGORÍA I,AV-0081/2005,F
51,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,BARRACO (EL),AVILA,367307.0,4479064.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,94.0,CATEGORÍA I,AV-0386/1990,F
52,PERSONA FÍSICA (CASA RURAL),PERSONA FÍSICA,BARRACO (EL),AVILA,368287.0,4477217.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,219.0,CATEGORÍA I,AV-0134/2005,F
53,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,BARRACO (EL),AVILA,366926.0,4478300.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,168.0,CATEGORÍA I,AV-0042/2017,F
54,CAMPAMENTO DE TURISMO SIEMPREVERDE,MANCOMUNIDAD MUNICIPAL ASOCIO DE AVILA,BARRACO (EL),AVILA,366810.0,4474350.0,GARGANTA DE IRUELAS,URBANO O ASIMILABLE,<2.000 h-e,9324.0,CATEGORÍA I,AV-0440/1990,J
55,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,BURGOHONDO,AVILA,347608.0,4473068.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,204.0,CATEGORÍA I,AV-0170/2008,F
56,CASA RURAL LA RISQUERA,PERSONA FÍSICA,BURGOHONDO,AVILA,348170.0,4474189.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,292.0,CATEGORÍA I,AV-0092/2009,F
57,CASA RURAL LA PEGUERA DE GREDOS,PERSONA FÍSICA,BURGOHONDO,AVILA,351131.0,4474690.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,480.0,CATEGORÍA I,AV-0132/2007,F
58,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,BURGOHONDO,AVILA,347645.0,4473481.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,204.0,CATEGORÍA I,AV-0114/2009,F
59,CAMPAMENTO SANTA MARÍA DEL MONTE,CONGREGACIÓN LEGIONARIOS DE CRISTO,BURGOHONDO,AVILA,348368.0,4473405.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,730.0,CATEGORÍA I,AV-0020/2019,
60,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,300780.0,4448323.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,232.8,CATEGORÍA I,AV-0084/2022,F
61,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,302501.0,4449102.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,237.0,CATEGORÍA I,AV-0019/2023,F
62,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,302022.0,4448358.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,66.0,CATEGORÍA I,AV-0102/2022,F
63,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,301398.0,4447496.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,292.0,CATEGORÍA I,AV-0033/2021,F
64,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,307360.0,4447600.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,135.6,CATEGORÍA I,AV-0083/2022,F
65,TALLER DE PIEDRA CANDELEDA (ASEOS),PERSONA FÍSICA,CANDELEDA,AVILA,306749.0,4448053.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,72.0,CATEGORÍA I,AV-0097/2006,F
66,RESTAURANTE EL RODEO,PERSONA FÍSICA,CANDELEDA,AVILA,306441.0,4448293.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,3650.0,CATEGORÍA I,AV-0048/1999,F
67,PERSONA FÍSICA (CENTRO TURISMO RURAL),PERSONA FÍSICA,CANDELEDA,AVILA,306828.0,4448441.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,420.0,CATEGORÍA I,AV-0087/2005,F
68,PERSONA FÍSICA (VIV. UNIFAMILIARES),PERSONA FÍSICA,CANDELEDA,AVILA,306906.0,4449165.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,80.0,CATEGORÍA I,AV-0067/2020,F
69,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,312780.0,4448736.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,126.0,CATEGORÍA I,AV-0026/2022,F
70,"E.S. CTRA. CL-501, KM 90","ESTACION DE SERVICIO SANCHEZ CAMPOS, S.L.",CANDELEDA,AVILA,300715.0,4446745.0,TERRENO,INDUSTRIAL,CLASE 1 Resto,673.0,CATEGORÍA I,AV-0081/2004,J
71,CASAS RURALES WORTHING INVEST,"WORTHING INVEST, S.L.",CANDELEDA,AVILA,308355.0,4444717.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,420.0,CATEGORÍA I,AV-0080/2003,J
72,CASA RURAL LA SAYUELA,PERSONA FÍSICA,CANDELEDA,AVILA,301579.0,4449425.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,432.0,CATEGORÍA I,AV-0048/2000,F
73,PERSONA FÍSICA (CENTRO TURISTICO RURAL),PERSONA FÍSICA,CANDELEDA,AVILA,304533.0,4450321.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,150.0,CATEGORÍA I,AV-0082/2004,F
74,CENTRO TURISMO RURAL EL MIRLO BLANCO,"MIRLO BLANCO HOTEL, S.L.",CANDELEDA,AVILA,307580.0,4442950.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,2200.0,CATEGORÍA I,AV-0084/2003,J
75,CASA RURAL EL HIGUERAL DE LA SAYUELA,"TERCERO REGUERO, S.L.",CANDELEDA,AVILA,302303.0,4449259.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,236.0,CATEGORÍA I,AV-0094/2003,J
76,CENTRO TURISMO RURAL CHOZOS DE TEJEA,PERSONA FÍSICA,CANDELEDA,AVILA,300149.0,4448286.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,650.0,CATEGORÍA I,AV-0089/2004,F
77,PERSONA FÍSICA (ASEOS PICADERO),PERSONA FÍSICA,CANDELEDA,AVILA,307281.0,4446826.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,273.0,CATEGORÍA I,AV-0084/2004,F
78,"AL ZUKAK, S.L. (VIV. UNIFAMILIAR 2)","AL ZUKAK, S.L.",CANDELEDA,AVILA,304067.0,4449623.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,196.8,CATEGORÍA I,AV-0114/2022,J
79,HOTEL NABIA,"MAINCO2005, S.L.",CANDELEDA,AVILA,305160.0,4450230.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,3650.0,CATEGORÍA I,AV-0144/2007,J
80,PERSONA FÍSICA (ASEOS NAVE AGRICOLA),PERSONA FÍSICA,CANDELEDA,AVILA,298888.0,4448398.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,365.0,CATEGORÍA I,AV-0184/2008,F
81,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,306459.0,4448339.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,96.0,CATEGORÍA I,AV-0052/2022,F
82,PERSONA FÍSICA (CENTRO TURISMO RURAL),PERSONA FÍSICA,CANDELEDA,AVILA,311073.0,4448962.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,800.0,CATEGORÍA I,AV-0115/2006,F
83,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,305374.0,4449983.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,96.24,CATEGORÍA I,AV-0205/2023,F
84,CAMPAMENTO JUVENIL EL FREILLO,PERSONA FÍSICA,CANDELEDA,AVILA,298729.0,4451247.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1260.0,CATEGORÍA I,AV-0084/2006,F
85,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,305308.0,4449563.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,96.0,CATEGORÍA I,AV-0013/2023,F
86,EDAR CANDELEDA,AYUNTAMIENTO DE CANDELEDA,CANDELEDA,AVILA,310470.0,4446310.0,ARROYO NOGALERA,URBANO O ASIMILABLE,>10.000 h-e,806205.0,CATEGORÍA I,AV-0101/2011,A
87,PERSONA FÍSICA (HOTEL RURAL),PERSONA FÍSICA,CANDELEDA,AVILA,305085.0,4448092.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,676.0,CATEGORÍA I,AV-0056/2013,F
88,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,299300.0,4448596.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,140.0,CATEGORÍA I,AV-0044/2021,F
89,CAMPAMENTO JUVENIL LA COLONIA DE GREDOS,"MAI MUD EVENTOS, S.L.",CANDELEDA,AVILA,312854.0,4447810.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,3460.0,CATEGORÍA I,AV-0106/2009,J
90,BAR-RESTAURANTE LOS CARRETERO,"VALLE VETTON, S.L.",CANDELEDA,AVILA,303026.0,4446638.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1329.0,CATEGORÍA I,AV-0060/2012,J
91,HOTEL RURAL LA CASA DE LOS TOMILLARES,"TOMILLARES ESPACIOS VERDES, S.L.",CANDELEDA,AVILA,310190.0,4443534.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,540.0,CATEGORÍA I,AV-0047/2012,J
92,COMPLEJO RURAL EL ESCONDITE DE PEDRO MALILLO,"ALBEA INVERSIONES, S.L.",CANDELEDA,AVILA,306376.0,4448800.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,2500.0,CATEGORÍA I,AV-0152/2008,J
93,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,301271.0,4447418.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,292.0,CATEGORÍA I,AV-0029/2021,F
94,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,299435.0,4448873.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,47.4,CATEGORÍA I,AV-0225/2023,F
95,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,308676.0,4446538.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,75.6,CATEGORÍA I,AV-0019/2024,F
96,"E.S. ANGORA CTRA. AV-910, PK 26,940","ANGORA NR, S.L.",CANDELEDA,AVILA,309888.0,4445616.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,511.0,CATEGORÍA I,AV-0008/2019,J
97,CENTRO TURISMO RURAL EL RINCÓN DE LOS RIVEROS,"R.O. JIMÉNEZ ROSILLO, S.L.",CANDELEDA,AVILA,303323.0,4447692.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1320.0,CATEGORÍA I,AV-0048/2012,J
98,PERSONA FÍSICA (VIV. TURISMO RURAL),PERSONA FÍSICA,CANDELEDA,AVILA,304428.0,4444730.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,96.0,CATEGORÍA I,AV-0097/2011,F
99,PERSONA FÍSICA (EXPLOT. GANADERA),PERSONA FÍSICA,CANDELEDA,AVILA,304727.0,4448028.0,TERRENO,INDUSTRIAL,CLASE 3 Resto,84.0,CATEGORÍA I,AV-0096/2010,F
100,RESTAURANTES LOS MARINOS Y MAJAVENERO,"LOS MARINOS CANDELEDA, S.L.",CANDELEDA,AVILA,303337.0,4446572.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1908.0,CATEGORÍA I,AV-0044/2012,J
101,"AL ZUKAK, S.L. (VIV. UNIFAMILIAR 1)","AL ZUKAK, S.L.",CANDELEDA,AVILA,303962.0,4449675.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,262.4,CATEGORÍA I,AV-0113/2022,J
102,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,311969.0,4448533.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,219.0,CATEGORÍA I,AV-0024/2021,F
103,CENTRO DE MEDITACIÓN DHAMMA SACCA,FUNDACIÓN PRIVADA VIPASSANA DHAMMA SACCA,CANDELEDA,AVILA,304868.0,4446202.0,ARROYO DE VALDIBUJO,URBANO O ASIMILABLE,<2.000 h-e,8212.0,CATEGORÍA I,AV-0048/2016,J
104,PERSONA FÍSICA (ESCUELA EQUITACIÓN),PERSONA FÍSICA,CANDELEDA,AVILA,306158.0,4445956.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,100.0,CATEGORÍA I,AV-0072/2004,F
105,RESTAURANTE ROPINO,PERSONA FÍSICA,CANDELEDA,AVILA,301705.0,4449176.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,822.0,CATEGORÍA I,AV-0425/1990,F
106,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,309785.0,4447950.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,120.0,CATEGORÍA I,AV-0022/2021,F
107,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,CANDELEDA,AVILA,305727.0,4447667.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,158.0,CATEGORÍA I,AV-0068/2020,F
108,CENTRO TURISMO RURAL LAS CANDELAS DE CANDELEDA,"GEAR ARPA, S.L.",CANDELEDA,AVILA,305338.0,4448140.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1570.0,CATEGORÍA I,AV-0139/2007,J
