METODO_ASIGNACION;DISTANCIA_M;SALTOS_GRAFO;v_utm_x;v_percentil_volumen;v_volumen;v_medio_receptor;v_name;v_categoria_estrategica;v_location;v_id;v_utm_y;v_actividad;s_rio_original;s_utm_x;s_name;s_rio;s_location;s_id;s_utm_y
ESTIMACION_ESPACIAL;31165.34994188257;;323675.0;0.5079;2600.0;TERRENO;HERMANOS MUÑOZ PEREDA, C.B.;TIER_3_MENOR;CartesianPoint(323675.0, 4447222.0);AV-0050/1999;4447222.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;39317.361572211325;;315339.0;0.0902;150.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(315339.0, 4450332.0);AV-0087/2004;4450332.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;36921.371223181835;;322926.0;0.4324;1314.0;TERRENO;EL RETIRO DE SAN PEDRO DE ALCÁNTARA, S.L.;TIER_3_MENOR;CartesianPoint(322926.0, 4454065.0);AV-0077/2005;4454065.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;25582.352980130658;;332824.0;0.3796;876.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(332824.0, 4446940.0);AV-0089/2011;4446940.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;35588.59764025551;;322383.0;0.0643;110.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(322383.0, 4451957.0);AV-0042/2012;4451957.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;37180.74512432477;;317832.0;0.1319;219.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(317832.0, 4449896.0);AV-0044/2013;4449896.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;38240.199921025516;;321641.0;0.0902;150.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(321641.0, 4454749.0);AV-0107/2006;4454749.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;35980.49477147306;;315512.0;0.0676;112.0;TERRENO;IBERIA FRUIT, S.L.;TIER_3_MENOR;CartesianPoint(315512.0, 4445178.0);AV-0105/2011;4445178.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;35595.93511905538;;322353.0;0.0858;146.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(322353.0, 4451942.0);AV-0041/2012;4451942.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;37379.76972909277;;313828.0;0.3313;625.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(313828.0, 4445201.0);AV-0093/2009;4445201.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;38304.028456547494;;321600.0;0.3553;730.0;TERRENO;RIOCANTOS, S.L.;TIER_3_MENOR;CartesianPoint(321600.0, 4454798.0);AV-0050/1996;4454798.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;38481.876682407266;;324556.0;0.2305;365.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(324556.0, 4457055.0);AV-0058/2012;4457055.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;34371.88118215237;;322210.0;0.164;279.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(322210.0, 4450218.0);AV-0050/2014;4450218.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;34454.841894862904;;322115.0;0.0749;125.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(322115.0, 4450245.0);AV-0058/2013;4450245.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;39193.994157268535;;313821.0;0.0858;146.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(313821.0, 4448295.0);AV-0043/2013;4448295.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;39408.1360254453;;313968.0;0.1779;292.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(313968.0, 4448831.0);AV-0044/2016;4448831.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;37251.48809108168;;320183.0;0.3766;840.0;TERRENO;AYUNTAMIENTO DE ARENAS DE SAN PEDRO;TIER_3_MENOR;CartesianPoint(320183.0, 4452270.0);AV-0047/2014;4452270.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;32038.006882451347;;325845.0;0.0324;73.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(325845.0, 4450150.0);AV-0062/2013;4450150.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;34067.209468930676;;324444.0;0.3847;900.0;TERRENO;CORTECEROS, S.L.;TIER_3_MENOR;CartesianPoint(324444.0, 4451637.0);AV-0085/2009;4451637.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;31565.95370014979;;323067.0;0.1779;292.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(323067.0, 4447200.0);AV-0042/2018;4447200.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;32345.148090556024;;317131.0;0.2659;438.0;TERRENO;EATON PLANNING LIMITED;TIER_3_MENOR;CartesianPoint(317131.0, 4441014.0);AV-0111/2011;4441014.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;24804.30551335796;;331280.0;0.345;716.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(331280.0, 4445122.0);AV-0043/2012;4445122.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;25720.260982346193;;330924.0;0.6251;9726.6;ARROYO EGIDO;AYUNTAMIENTO DE ARENAS DE SAN PEDRO;TIER_3_MENOR;CartesianPoint(330924.0, 4445983.0);AV-0218/2023;4445983.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;36666.39427323063;;321294.0;0.9651;1791857.0;RÍO EL ARENAL;AYUNTAMIENTO DE ARENAS DE SAN PEDRO;TIER_1_CRITICO;CartesianPoint(321294.0, 4452455.0);AV-0643/1987;4452455.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;38423.800033312684;;321811.0;0.2131;360.0;TERRENO;CASA CARMELA ALOJAMIENTO RURAL, S.L.;TIER_3_MENOR;CartesianPoint(321811.0, 4455108.0);AV-0104/2006;4455108.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;38881.860307860785;;313895.0;0.0499;96.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(313895.0, 4447878.0);AV-0159/2008;4447878.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;38835.25267073719;;320013.0;0.3978;1000.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(320013.0, 4454211.0);AV-0242/2023;4454211.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;36155.82597590602;;321730.0;0.0529;97.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(321730.0, 4452154.0);AV-0061/2023;4452154.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;32367.553274846094;;320125.0;0.3796;876.0;TERRENO;SOCIEDAD GUADIERBAS Y SERVICIOS, S.A.;TIER_3_MENOR;CartesianPoint(320125.0, 4445240.0);AV-0039/2017;4445240.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;29266.751596308055;;367276.0;0.3101;548.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(367276.0, 4478190.0);AV-0109/2010;4478190.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;28191.042619952885;;367218.0;0.7327;36500.0;RÍO ALBERCHE;MANCOMUNIDAD MUNICIPAL ASOCIO DE AVILA;TIER_3_MENOR;CartesianPoint(367218.0, 4475167.0);AV-0121/2002;4475167.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;28289.511006731806;;367675.0;0.4668;1825.0;TERRENO;EL CASTILLO DE LA ISLA CENTINELA, S.L.;TIER_3_MENOR;CartesianPoint(367675.0, 4476657.0);AV-0115/2002;4476657.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;27949.8273518818;;368193.0;0.6545;13687.0;ARROYO DE LA PARRA;RESIDENCIA DE MAYORES LOS CEREZOS, S.L.;TIER_3_MENOR;CartesianPoint(368193.0, 4477013.0);AV-0381/1990;4477013.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;32700.49346722462;;362990.0;0.6692;15330.0;RÍO ALBERCHE;AYUNTAMIENTO DE EL BARRACO;TIER_3_MENOR;CartesianPoint(362990.0, 4476738.0);AV-0073/2001;4476738.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;27788.80762105492;;368160.0;0.4504;1500.0;TERRENO;EL FARO CASAS, S.L.;TIER_3_MENOR;CartesianPoint(368160.0, 4476520.0);AV-0086/2003;4476520.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;28595.630382979845;;367324.0;0.2305;365.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(367324.0, 4476606.0);AV-0411/1990;4476606.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;34890.15587526086;;362114.0;0.9215;514221.0;ARROYO DE LOS CHARQUILLOS;AYUNTAMIENTO DE EL BARRACO;TIER_2_RELEVANTE;CartesianPoint(362114.0, 4480424.0);AV-0187/2008;4480424.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;27780.025359959625;;368186.0;0.0553;100.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(368186.0, 4476560.0);AV-0081/2005;4476560.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;29615.26231523199;;367307.0;0.0463;94.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(367307.0, 4479064.0);AV-0386/1990;4479064.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;27945.196814479586;;368287.0;0.1319;219.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(368287.0, 4477217.0);AV-0134/2005;4477217.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;29630.70449719345;;366926.0;0.1;168.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(366926.0, 4478300.0);AV-0042/2017;4478300.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;28323.81204922812;;366810.0;0.624;9324.0;GARGANTA DE IRUELAS;MANCOMUNIDAD MUNICIPAL ASOCIO DE AVILA;TIER_3_MENOR;CartesianPoint(366810.0, 4474350.0);AV-0440/1990;4474350.0;URBANO O ASIMILABLE;ALBERCHE;393858;SAICA PICADAS;RÍO ALBERCHE;CartesianPoint(393858.0, 4465945.0);C342;4465945.0
ESTIMACION_ESPACIAL;42103.734193061784;;347608.0;0.1185;204.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(347608.0, 4473068.0);AV-0170/2008;4473068.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;42373.85731792658;;348170.0;0.1779;292.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(348170.0, 4474189.0);AV-0092/2009;4474189.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;40487.90488528642;;351131.0;0.2757;480.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(351131.0, 4474690.0);AV-0132/2007;4474690.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;42331.69173326292;;347645.0;0.1185;204.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(347645.0, 4473481.0);AV-0114/2009;4473481.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;41721.799817361665;;348368.0;0.3553;730.0;TERRENO;CONGREGACIÓN LEGIONARIOS DE CRISTO;TIER_3_MENOR;CartesianPoint(348368.0, 4473405.0);AV-0020/2019;4473405.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;46178.74434195889;;300780.0;0.1401;232.8;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(300780.0, 4448323.0);AV-0084/2022;4448323.0;URBANO O ASIMILABLE;ALAGÓN;262857;SAICA BEJAR;RÍO ALAGÓN;CartesianPoint(262857.0, 4474673.0);C323;4474673.0
ESTIMACION_ESPACIAL;47175.44675994071;;302501.0;0.1428;237.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(302501.0, 4449102.0);AV-0019/2023;4449102.0;URBANO O ASIMILABLE;ALAGÓN;262857;SAICA BEJAR;RÍO ALAGÓN;CartesianPoint(262857.0, 4474673.0);C323;4474673.0
ESTIMACION_ESPACIAL;47146.178169603525;;302022.0;0.0256;66.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(302022.0, 4448358.0);AV-0102/2022;4448358.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;321176;SAICA AZUTAN;RÍO TAJO;CartesianPoint(321176.0, 4405278.0);C344;4405278.0
ESTIMACION_ESPACIAL;46621.11976347201;;301398.0;0.1779;292.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(301398.0, 4447496.0);AV-0033/2021;4447496.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;321176;SAICA AZUTAN;RÍO TAJO;CartesianPoint(321176.0, 4405278.0);C344;4405278.0
ESTIMACION_ESPACIAL;44116.616370705495;;307360.0;0.0801;135.6;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(307360.0, 4447600.0);AV-0083/2022;4447600.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;44874.630360594616;;306749.0;0.0286;72.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(306749.0, 4448053.0);AV-0097/2006;4448053.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;45262.92692701169;;306441.0;0.5387;3650.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(306441.0, 4448293.0);AV-0048/1999;4448293.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;45013.84925775622;;306828.0;0.2608;420.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(306828.0, 4448441.0);AV-0087/2005;4448441.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;45339.83869622829;;306906.0;0.0379;80.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(306906.0, 4449165.0);AV-0067/2020;4449165.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;40288.73887328815;;312780.0;0.0763;126.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(312780.0, 4448736.0);AV-0026/2022;4448736.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;46240.29206222642;;300715.0;0.339;673.0;TERRENO;ESTACION DE SERVICIO SANCHEZ CAMPOS, S.L.;TIER_3_MENOR;CartesianPoint(300715.0, 4446745.0);AV-0081/2004;4446745.0;INDUSTRIAL;TAJO IZQUIERDA;321176;SAICA AZUTAN;RÍO TAJO;CartesianPoint(321176.0, 4405278.0);C344;4405278.0
ESTIMACION_ESPACIAL;41470.625290680146;;308355.0;0.2608;420.0;TERRENO;WORTHING INVEST, S.L.;TIER_3_MENOR;CartesianPoint(308355.0, 4444717.0);AV-0080/2003;4444717.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;321176;SAICA AZUTAN;RÍO TAJO;CartesianPoint(321176.0, 4405278.0);C344;4405278.0
ESTIMACION_ESPACIAL;46226.1266817803;;301579.0;0.2624;432.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(301579.0, 4449425.0);AV-0048/2000;4449425.0;URBANO O ASIMILABLE;ALAGÓN;262857;SAICA BEJAR;RÍO ALAGÓN;CartesianPoint(262857.0, 4474673.0);C323;4474673.0
